filepath,old_title,new_title,old_artist,new_artist,changed
GENERAL/DENAPHEN_20160326_044922 Denali Kennels dogs howling.mp3,,Denali Kennels dogs howling,,National Park Service,True
GENERAL/DENATHRI_20150630_125351 rain faint chorus.mp3,,rain faint chorus,,National Park Service,True
GENERAL/DENATOKO_20160511_070134 long cut of avian chorus with showers TRIM.mp3,,long cut of avian chorus with showers,,National Park Service,True
GENERAL/DENATOKO_20160513_130223 animal movement bird chorus and river.mp3,,animal movement bird chorus and river,,National Park Service,True
GENERAL/GLBABARTC_20210726_194850_curious_natural_sound like child humming TRIM FADE COMPRESS AMPLIFY.mp3,,curious_natural_sound like child humming,,National Park Service,True
GENERAL/LACLKIJK_20180619_193149 ambience with raindrops and punctuated bird song.mp3,,ambience with raindrops and punctuated bird song,,National Park Service,True
GENERAL/LACLKIJK_20180619_194318 ambience with raindrops and avian chorus.mp3,,ambience with raindrops and avian chorus,,National Park Service,True
GEOPHONY/DENABACK_20140609_004008 pronounced rock slide with several phases AMPLIFY +15 dBFS (slight TRIM).mp3,pronounced rock slide with several phases,pronounced rock slide with several phases,National Park Service,National Park Service,False
GEOPHONY/DENABACK_20140724_210128 rock slide with large pieces at end.mp3,rock slide with large pieces at end,rock slide with large pieces at end,National Park Service,National Park Service,False
GEOPHONY/DENABICR_20130707_143335-Thunder And Rain TRIM.mp3,DENABICR_20130707_143335-Thunder And Rain,DENABICR_20130707_143335-Thunder And Rain,National Park Service,National Park Service,False
GEOPHONY/DENABMUL_20210330_001843 Muldrow surge long cut TRIM.mp3,,Muldrow surge long cut,,National Park Service,True
GEOPHONY/DENABMUL_20210401_051821 Muldrow surge long cut TRIM.mp3,,Muldrow surge long cut,,National Park Service,True
GEOPHONY/DENABMUL_20210401_051821 Muldrow surge shorter clip.mp3,Muldrow surge shorter clip,Muldrow surge shorter clip,National Park Service,National Park Service,False
"GEOPHONY/DENABMUL_20210401_091907 Muldrow surge long cut, extensive low-frequency rumbling features TRIM.mp3",,"Muldrow surge long cut, extensive low-frequency rumbling features",,National Park Service,True
"GEOPHONY/DENACATH_20120808_064000 good quality rock slide, slow speed, blocky extrusive igneous chunks TRIM.mp3","good quality rock slide, slow speed, blocky extrusive igneous chunks","good quality rock slide, slow speed, blocky extrusive igneous chunks",National Park Service,National Park Service,False
GEOPHONY/DENAKICH_20120522_100025_Avalanche with bird song.mp3,,Avalanche with bird song,,National Park Service,True
GEOPHONY/DENAKICH_20120522_161217 Avalanche loud and sudden AMPLIFY -3 dBFS FADE OUT.mp3,,Avalanche loud and sudden,,National Park Service,True
GEOPHONY/DENARUTH_20190526_040919 small avalanche with distinct slab-breaking event AMPLIFY +15dB.mp3,small avalanche with distinct slab-breaking event,small avalanche with distinct slab-breaking event,National Park Service,National Park Service,False
GEOPHONY/DENARUTH_20190529_214609 prominent snow avalanche.mp3,prominent snow avalanche,prominent snow avalanche,National Park Service,National Park Service,False
GEOPHONY/DENASKGL_20210602_041003 rock slide.mp3,,rock slide,,National Park Service,True
"GEOPHONY/DENASUSH_20260612_111248 clear, crisp thunder TRIM.mp3","clear, crisp thunder","clear, crisp thunder",National Park Service,National Park Service,False
"GEOPHONY/DENATRLA_20240802_081511 a moderate-sized rock slide for this site location, probably from Nenana Ridge to the northeast, ~500 meters.mp3",,"a moderate-sized rock slide for this site location, probably from Nenana Ridge to the northeast, ~500 meters",,National Park Service,True
"GEOPHONY/DENATRLA_20240802_152712 rock slide, probably from Nenana Ridge to northeast about 500 meters.mp3",,"rock slide, probably from Nenana Ridge to northeast about 500 meters",,National Park Service,True
GEOPHONY/DENAUDAL_20100702_132530 ice bubbles and creaking.mp3,,ice bubbles and creaking,,National Park Service,True
GEOPHONY/DENAUDAL_20100702_132533 ice bubbles and creaking BESSEL FILTER 1000 - 10000 Hz AMPLIFY +20 dBFS.mp3,ice bubbles and creaking,ice bubbles and creaking,National Park Service,National Park Service,False
GEOPHONY/DENAUPEL_20130511_232743-RockSlide.mp3,,DENAUPEL_20130511_232743-RockSlide,,National Park Service,True
GEOPHONY/DENAUTOK_20190810_082714 rock slide with deep thump.mp3,rock slide with deep thump,rock slide with deep thump,National Park Service,National Park Service,False
GEOPHONY/DENAUYEN_20120520_124131 short midground rock slide.mp3,,short midground rock slide,,National Park Service,True
"GEOPHONY/DENAUYEN_20120520_180417 avalanche with two major bursts, then a long wash-out.mp3",,"avalanche with two major bursts, then a long wash-out",,National Park Service,True
"GEOPHONY/DENAUYEN_20120521_144128 clear, deep rock motion on the glacier.mp3","clear, deep rock motion on the glacier","clear, deep rock motion on the glacier",National Park Service,National Park Service,False
GEOPHONY/DENAUYEN_20120523_075701 quality rock slide audio.mp3,quality rock slide audio,quality rock slide audio,National Park Service,National Park Service,False
"GEOPHONY/DENAUYEN_20120524_215113 excellent, steady rock slide audio.mp3","excellent, steady rock slide audio","excellent, steady rock slide audio",National Park Service,National Park Service,False
"GEOPHONY/GAARARRI_20180624_075645 small rockfall, background avian chorus.mp3",,"small rockfall, background avian chorus",,National Park Service,True
"GEOPHONY/GAARARRI_20180625_071639 rockslide, background Golden-crowned Sparrow song TRIM.mp3","rockslide, background Golden-crowned Sparrow song","rockslide, background Golden-crowned Sparrow song",National Park Service,National Park Service,False
GEOPHONY/GAARARRI_20180628_145728 Thunder and beginning of rain shower.mp3,Thunder and beginning of rain shower,Thunder and beginning of rain shower,National Park Service,National Park Service,False
GEOPHONY/GAARITKI_20190621_150734 thunder AMPLIFY +10dB.mp3,thunder,thunder,National Park Service,National Park Service,False
GEOPHONY/GAARNWAL_20140708_140748 thunder no clipping.mp3,thunder no clipping,thunder no clipping,National Park Service,National Park Service,False
INSECTS/DENACABN_20130714_112628-UnknownOrthopteran.mp3,,DENACABN_20130714_112628-UnknownOrthopteran,,National Park Service,True
INSECTS/DENAMCRI_20120725_151912_Mosquito (clear).mp3,,Mosquito (clear),,National Park Service,True
INSECTS/DENAMCRI_20120810_191000 mosquitos close.mp3,,mosquitos close,,National Park Service,True
INSECTS/DENAMOOS_20180719_075149 insect wingbeats with two acoustically distinct behaviors.mp3,,insect wingbeats with two acoustically distinct behaviors,,National Park Service,True
INSECTS/DENATOKO_20160506_015745 deep insect wingbeats.mp3,,deep insect wingbeats,,National Park Service,True
INSECTS/DENATOKO_20160507_232954 insect wingbeats with Varied Thrush song.mp3,,insect wingbeats with Varied Thrush song,,National Park Service,True
INSECTS/DENATOKO_20190701_100630 long insect wingbeat tone.mp3,,long insect wingbeat tone,,National Park Service,True
INSECTS/DENATRLA_20240629_213201 very clear insect wings close to the windscreen.mp3,,very clear insect wings close to the windscreen,,National Park Service,True
INSECTS/GAARARRI_20180625_195435 bumble bee and avian chorus.mp3,,bumble bee and avian chorus,,National Park Service,True
INSECTS/GAARARRI_20180723_155006 Grasshoppers stridulating.mp3,,Grasshoppers stridulating,,National Park Service,True
INSECTS/GAARFLOR_20180612_210329 clear insect buzzing.mp3,,clear insect buzzing,,National Park Service,True
INSECTS/GAARFLOR_20180704_185606 moth wingbeats.mp3,,moth wingbeats,,National Park Service,True
INSECTS/GAARNNUT_20140705_214919 very clear insect wingbeats.mp3,,very clear insect wingbeats,,National Park Service,True
"INSECTS/GAARNNUT_20140706_112454 long, horrible insect recording.mp3",,"long, horrible insect recording",,National Park Service,True
"INSECTS/GAARPALA_20190615_075733 interesting repeated insect wingbeats with nearly identical harmonic structure each time, avian background.mp3",,"interesting repeated insect wingbeats with nearly identical harmonic structure each time, avian background",,National Park Service,True
INSECTS/GAARUPNO_20180726_222040 fly sporadically buzzes.mp3,,fly sporadically buzzes,,National Park Service,True
INSECTS/KATMDORI_20160811_093232 a long insect event with rich harmonics.mp3,,a long insect event with rich harmonics,,National Park Service,True
INSECTS/KATMJOJO_20160628_090025 insect wingbeats slowly increase in pitch.mp3,,insect wingbeats slowly increase in pitch,,National Park Service,True
"INSECTS/KATMKABA_20160730_044150 large insect repeatedly lands on windscreen, background gulls surf.mp3",,"large insect repeatedly lands on windscreen, background gulls surf",,National Park Service,True
INSECTS/KATMTACT_20170714_114719 good quality buzzy insect wingbeats.mp3,,good quality buzzy insect wingbeats,,National Park Service,True
MAMMALS/DENACATH_20170727_181009 Arctic Ground Squirrel call with reverberation.mp3,,Arctic Ground Squirrel call with reverberation,,National Park Service,True
MAMMALS/DENAFANG_20110706_064839_Dall Sheep bleating TRIM.mp3,Dall Sheep bleating,Dall Sheep bleating,National Park Service,National Park Service,False
MAMMALS/DENAFANG_20130730_090604_Caribou_Walking-Snorting-Grazing.mp3,Caribou_Walking-Snorting-Grazing,Caribou_Walking-Snorting-Grazing,National Park Service,National Park Service,False
MAMMALS/DENAHAUK_20140617_084002 iron creek west wolves (male 1405) howling interspersed with dawn chorus TRIM.mp3,iron creek west wolves (male 1405) howling interspersed with dawn chorus,iron creek west wolves (male 1405) howling interspersed with dawn chorus,National Park Service,National Park Service,False
MAMMALS/DENAHAUK_20140617_084002 iron creek west wolves (male 1405) howling interspersed with dawn chorus.mp3,,iron creek west wolves (male 1405) howling interspersed with dawn chorus,,National Park Service,True
MAMMALS/DENAHOTS_20140601_212218 American Red Squirrel very clear and possible to hear palate or nasal-related sounds TRIM.mp3,American Red Squirrel very clear and possible to hear palate or nasal-related sounds,American Red Squirrel very clear and possible to hear palate or nasal-related sounds,National Park Service,National Park Service,False
MAMMALS/DENARUGL_20060619_043533 Bear attacks audio equipment.mp3,Bear attacks audio equipment,Bear attacks audio equipment,National Park Service,National Park Service,False
MAMMALS/DENATRLA_20170712_233940 very clear reverberant Coyote howls TRIM.mp3,very clear reverberant Coyote howls,very clear reverberant Coyote howls,National Park Service,National Park Service,False
MAMMALS/DENATRLA_20180809_213355 coyote howls AMPLIFY +15dB.mp3,coyote howls,coyote howls,National Park Service,National Park Service,False
"MAMMALS/DENATRLA_20240618_160107 clear, relatively undistorted American Red Squirrel calls TRIM.mp3","clear, relatively undistorted American Red Squirrel calls","clear, relatively undistorted American Red Squirrel calls",National Park Service,National Park Service,False
"MAMMALS/DENATRLA_20240719_213623 very clear, spastic and varied American Red Squirrel alarm calls TRIM.mp3","very clear, spastic and varied American Red Squirrel alarm calls","very clear, spastic and varied American Red Squirrel alarm calls",National Park Service,National Park Service,False
MAMMALS/DENAVABM_20090729_035000_Bear huffing.mp3,,Bear huffing,62.88184	-150.88486,National Park Service,True
MAMMALS/GLBABARTC_20210628_065656 Humpback Whale vocalizations and slapping with Sooty Grouse and avian chorus TRIM COMPRESS AMPLIFY FADE.mp3,,Humpback Whale vocalizations and slapping with Sooty Grouse and avian chorus,,National Park Service,True
"MAMMALS/GLBABARTC_20210628_065656 Humpback Whale vocalizations and slapping with Sooty Grouse and avian chorus TRIMMED MORE, COMPRESS AMPLIFY FADE.mp3",Humpback Whale vocalizations and slapping with Sooty Grouse and avian chorus TRIMMED MORE,Humpback Whale vocalizations and slapping with Sooty Grouse and avian chorus TRIMMED MORE,National Park Service,National Park Service,False
MAMMALS/GLBAMCLEOD_20220611_034405 a long sequence of Humpback Whale breathing TRIM.mp3,a long sequence of Humpback Whale breathing,a long sequence of Humpback Whale breathing,National Park Service,National Park Service,False
MAMMALS/GLBARENDU_20220610_213326 Humpback Whale with birdsong in background TRIM.mp3,Humpback Whale with birdsong in background,Humpback Whale with birdsong in background,National Park Service,National Park Service,False
MAMMALS/GLBARENDU_20220612_162613 low-pitched Humpback Whale calls.mp3,,low-pitched Humpback Whale calls,,National Park Service,True
MAMMALS/GLBARENDU_20220613_214042 Humpback Whale slapping sounds TRIM.mp3,Humpback Whale slapping sounds,Humpback Whale slapping sounds,National Park Service,National Park Service,False
MAMMALS/GLBARENDU_20220613_234543 varied alarm calls including Hoary Marmot.mp3,,varied alarm calls including Hoary Marmot,,National Park Service,True
MAMMALS/KATM005_20100915_070024 excellent gutteral bear sounds TRIM.mp3,,excellent gutteral bear sounds,,National Park Service,True
MAMMALS/LACLCHBA_20180703_060620 clear coyotes.mp3,,clear coyotes,,National Park Service,True
MAMMALS/WRSTBLMT_20150402_093032 clear wolves howling with Ptarmigan pt. 2.mp3,clear wolves howling with Ptarmigan pt. 2,clear wolves howling with Ptarmigan pt. 2,National Park Service,National Park Service,False
"MAMMALS/WRSTBLMT_20150402_093032 clear wolves howling, slowly builds, Ptarmigan joins too!.mp3","clear wolves howling, slowly builds, Ptarmigan joins too!","clear wolves howling, slowly builds, Ptarmigan joins too!",National Park Service,National Park Service,False
MAMMALS/WRSTBLMT_20150409_103518 Wolves howling - three distinct voices from an individual followed by group chorus.mp3,,Wolves howling - three distinct voices from an individual followed by group chorus,,National Park Service,True
MAMMALS/WRSTBLMT_20150429_225402 clear Wolves howling.mp3,,clear Wolves howling,,National Park Service,True
MAMMALS/WRSTBLMT_20170128_072543 excellent wolf pack howling - beautiful spectrogram - BANDPASS 100 - 4000 Hz AMPLIFY +8 dBFS.mp3,,excellent wolf pack howling - beautiful spectrogram,,National Park Service,True
MAMMALS/WRSTBLMT_20170204_124537 clear solitary wolf howling occasional background group BANDPASS 200 - 2500 Hz AMPLIFY +15 dBFS.mp3,,clear solitary wolf howling occasional background group,,National Park Service,True
MAMMALS/WRSTBLMT_20170204_124537 clear solitary wolf howling occasional background group.mp3,,clear solitary wolf howling occasional background group,,National Park Service,True
MAMMALS/WRSTBLMT_20170211_002212 solitary wolf howl leads into group howling.mp3,,solitary wolf howl leads into group howling,,National Park Service,True
"MAMMALS/WRSTBLMT_20170322_201312 clear solitary wolf howling, vocal cracking.mp3",,"clear solitary wolf howling, vocal cracking",,National Park Service,True
MAMMALS/WRSTCOPA_20160313_014852 solitary wolf howl very clear.mp3,,solitary wolf howl very clear,,National Park Service,True
MAMMALS/WRSTTALA_20160229_204005 clear group wolf howls TRIM.mp3,clear group wolf howls,clear group wolf howls,National Park Service,National Park Service,False
MAMMALS/WRSTTALA_20160401_010659 relatively clear pair of wolves howling with reverberation TRIM AMPLIFY +10dB.mp3,relatively clear pair of wolves howling with reverberation,relatively clear pair of wolves howling with reverberation,National Park Service,National Park Service,False
