id,title,source_path,archive_path,output_path,status,input_i_lufs,input_tp_db,input_lra,effective_target_lufs,target_offset_db,applied_gain_db,uncapped_gain_db,flags,notes
denamuri_20150523_045418,"chorus with Swainson's Thrush, Common Loon","highlights/audio/BIRDS/DENAMURI_20150523_045418 chorus with Swainson's Thrush, Common Loon TRIM.mp3","archive/pre_loudness_normalize/highlights/audio/BIRDS/DENAMURI_20150523_045418 chorus with Swainson's Thrush, Common Loon TRIM.mp3","highlights/audio_normalized/BIRDS/DENAMURI_20150523_045418 chorus with Swainson's Thrush, Common Loon TRIM.mp3",ok,-51.0,-33.0,10.3,-39.0,-1.04,12.0,33.0,gain_capped,boost capped at 12.0 dB (would have been 33.0 dB)
denamuri_20150526_060431,very reverberant Sandhill Crane with chorus,"highlights/audio/BIRDS/DENAMURI_20150526_060431 very reverberant Sandhill Crane with chorus, TRIM.mp3","archive/pre_loudness_normalize/highlights/audio/BIRDS/DENAMURI_20150526_060431 very reverberant Sandhill Crane with chorus, TRIM.mp3","highlights/audio_normalized/BIRDS/DENAMURI_20150526_060431 very reverberant Sandhill Crane with chorus, TRIM.mp3",ok,-36.18,-10.6,17.3,-24.18,4.3,12.0,18.18,gain_capped,boost capped at 12.0 dB (would have been 18.2 dB)
denapol2_20120619_092801,excellent clear Fox Sparrow song,highlights/audio/BIRDS/DENAPOL2_20120619_092801 excellent clear Fox Sparrow song TRIM.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/DENAPOL2_20120619_092801 excellent clear Fox Sparrow song TRIM.mp3,highlights/audio_normalized/BIRDS/DENAPOL2_20120619_092801 excellent clear Fox Sparrow song TRIM.mp3,ok,-35.2,-22.93,23.8,-23.2,-0.42,12.0,17.2,gain_capped,boost capped at 12.0 dB (would have been 17.2 dB)
denasan3_20120603_020932,White-crowned Sparrow song with chorus background,highlights/audio/BIRDS/DENASAN3_20120603_020932 White-crowned Sparrow song with chorus background.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/DENASAN3_20120603_020932 White-crowned Sparrow song with chorus background.mp3,highlights/audio_normalized/BIRDS/DENASAN3_20120603_020932 White-crowned Sparrow song with chorus background.mp3,ok,-39.07,-28.29,19.1,-27.07,5.0,12.0,21.07,gain_capped,boost capped at 12.0 dB (would have been 21.1 dB)
denasush_20260610_092353,"excellent Northern Raven flight calls with reverberance, preceded by wingbeats (small","highlights/audio/BIRDS/DENASUSH_20260610_092353 excellent Northern Raven flight calls with reverberance, preceded by wingbeats (small TRIM).mp3","archive/pre_loudness_normalize/highlights/audio/BIRDS/DENASUSH_20260610_092353 excellent Northern Raven flight calls with reverberance, preceded by wingbeats (small TRIM).mp3","highlights/audio_normalized/BIRDS/DENASUSH_20260610_092353 excellent Northern Raven flight calls with reverberance, preceded by wingbeats (small TRIM).mp3",ok,-18.51,-0.43,26.7,-18.0,0.31,0.51,0.51,hot_peak,input peak -0.4 dBFS — limiter will engage
denatoko_20160512_052310,White-crowned Sparrow song with chorus background,highlights/audio/BIRDS/DENATOKO_20160512_052310 White-crowned Sparrow song with chorus background.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/DENATOKO_20160512_052310 White-crowned Sparrow song with chorus background.mp3,highlights/audio_normalized/BIRDS/DENATOKO_20160512_052310 White-crowned Sparrow song with chorus background.mp3,ok,-33.29,-20.68,17.2,-21.29,1.71,12.0,15.29,gain_capped,boost capped at 12.0 dB (would have been 15.3 dB)
denatoko_20160616_053228,"Orange-crowned Warbler song background chorus, Tokositna River","highlights/audio/BIRDS/DENATOKO_20160616_053228 Orange-crowned Warbler song background chorus, Tokositna River.mp3","archive/pre_loudness_normalize/highlights/audio/BIRDS/DENATOKO_20160616_053228 Orange-crowned Warbler song background chorus, Tokositna River.mp3","highlights/audio_normalized/BIRDS/DENATOKO_20160616_053228 Orange-crowned Warbler song background chorus, Tokositna River.mp3",ok,-23.91,-5.26,17.1,-18.0,6.45,5.91,5.91,,
denatrla_20240624_045058,clear American Three-toed Woodpecker drumming with lively chorus SWTH DEJU,highlights/audio/BIRDS/DENATRLA_20240624_045058 clear American Three-toed Woodpecker drumming with lively chorus SWTH DEJU TRIM.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/DENATRLA_20240624_045058 clear American Three-toed Woodpecker drumming with lively chorus SWTH DEJU TRIM.mp3,highlights/audio_normalized/BIRDS/DENATRLA_20240624_045058 clear American Three-toed Woodpecker drumming with lively chorus SWTH DEJU TRIM.mp3,ok,-28.57,-3.66,15.6,-18.0,4.48,10.57,10.57,high_gain,boost ~10.6 dB — may raise background noise
denawocr_20150624_202549,Fox Sparrow song with thunder and Swainson's Thrush,highlights/audio/BIRDS/DENAWOCR_20150624_202549 Fox Sparrow song with thunder and Swainson's Thrush TRIM.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/DENAWOCR_20150624_202549 Fox Sparrow song with thunder and Swainson's Thrush TRIM.mp3,highlights/audio_normalized/BIRDS/DENAWOCR_20150624_202549 Fox Sparrow song with thunder and Swainson's Thrush TRIM.mp3,ok,-28.91,-4.85,20.3,-18.0,1.9,10.91,10.91,high_gain,boost ~10.9 dB — may raise background noise
gaarflor_20180615_045829,very clear American Robin song,highlights/audio/BIRDS/GAARFLOR_20180615_045829 very clear American Robin song.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/GAARFLOR_20180615_045829 very clear American Robin song.mp3,highlights/audio_normalized/BIRDS/GAARFLOR_20180615_045829 very clear American Robin song.mp3,ok,-46.9,-32.2,4.5,-34.9,0.43,12.0,28.9,gain_capped,boost capped at 12.0 dB (would have been 28.9 dB)
gaarflor_20180617_125710,"chorus with White-crowned Sparrow, Swainson's Thrush, American Red Squirrel","highlights/audio/BIRDS/GAARFLOR_20180617_125710 chorus with White-crowned Sparrow, Swainson's Thrush, American Red Squirrel.mp3","archive/pre_loudness_normalize/highlights/audio/BIRDS/GAARFLOR_20180617_125710 chorus with White-crowned Sparrow, Swainson's Thrush, American Red Squirrel.mp3","highlights/audio_normalized/BIRDS/GAARFLOR_20180617_125710 chorus with White-crowned Sparrow, Swainson's Thrush, American Red Squirrel.mp3",ok,-47.71,-31.35,19.9,-35.71,2.42,12.0,29.71,gain_capped,boost capped at 12.0 dB (would have been 29.7 dB)
gaarflor_20180618_053001,Common Loon with rich avian chorus,highlights/audio/BIRDS/GAARFLOR_20180618_053001 Common Loon with rich avian chorus.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/GAARFLOR_20180618_053001 Common Loon with rich avian chorus.mp3,highlights/audio_normalized/BIRDS/GAARFLOR_20180618_053001 Common Loon with rich avian chorus.mp3,ok,-54.52,-38.34,16.2,-42.52,-0.41,12.0,36.52,gain_capped,boost capped at 12.0 dB (would have been 36.5 dB)
gaarmwal_20140617_064326,Mew Gull with chorus background,highlights/audio/BIRDS/GAARMWAL_20140617_064326 Mew Gull with chorus background TRIM.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/GAARMWAL_20140617_064326 Mew Gull with chorus background TRIM.mp3,highlights/audio_normalized/BIRDS/GAARMWAL_20140617_064326 Mew Gull with chorus background TRIM.mp3,ok,-54.02,-31.08,11.2,-42.02,-0.76,12.0,36.02,gain_capped,boost capped at 12.0 dB (would have been 36.0 dB)
gaarnnut_20140704_072937,"clear, punctuated Common Loon, background chorus","highlights/audio/BIRDS/GAARNNUT_20140704_072937 clear, punctuated Common Loon, background chorus.mp3","archive/pre_loudness_normalize/highlights/audio/BIRDS/GAARNNUT_20140704_072937 clear, punctuated Common Loon, background chorus.mp3","highlights/audio_normalized/BIRDS/GAARNNUT_20140704_072937 clear, punctuated Common Loon, background chorus.mp3",ok,-48.73,-27.3,22.4,-36.73,4.71,12.0,30.73,gain_capped,boost capped at 12.0 dB (would have been 30.7 dB)
gaarupno_20180606_150920,avian chorus with Savanah Sparrow and occasional insect wingbeats,highlights/audio/BIRDS/GAARUPNO_20180606_150920 avian chorus with Savanah Sparrow and occasional insect wingbeats.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/GAARUPNO_20180606_150920 avian chorus with Savanah Sparrow and occasional insect wingbeats.mp3,highlights/audio_normalized/BIRDS/GAARUPNO_20180606_150920 avian chorus with Savanah Sparrow and occasional insect wingbeats.mp3,ok,-57.13,-33.84,15.0,-45.13,0.96,12.0,39.13,gain_capped,boost capped at 12.0 dB (would have been 39.1 dB)
gaarupno_20180607_025501,Savanah Sparrow song with chorus background,highlights/audio/BIRDS/GAARUPNO_20180607_025501 Savanah Sparrow song with chorus background.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/GAARUPNO_20180607_025501 Savanah Sparrow song with chorus background.mp3,highlights/audio_normalized/BIRDS/GAARUPNO_20180607_025501 Savanah Sparrow song with chorus background.mp3,ok,-51.79,-31.17,18.7,-39.79,3.84,12.0,33.79,gain_capped,boost capped at 12.0 dB (would have been 33.8 dB)
glbabartc_20200707_111214,GLBABARTC_20200707_111214._Sooty_Grous_near_mic_AMPLIFY_FADEewav,highlights/audio/BIRDS/GLBABARTC_20200707_111214._Sooty_Grous_near_mic_AMPLIFY_FADEewav.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/GLBABARTC_20200707_111214._Sooty_Grous_near_mic_AMPLIFY_FADEewav.mp3,highlights/audio_normalized/BIRDS/GLBABARTC_20200707_111214._Sooty_Grous_near_mic_AMPLIFY_FADEewav.mp3,ok,-22.69,-4.33,25.7,-18.0,-0.75,4.69,4.69,,
glbarendu_20220616_230000,very clear Varied Thrush song background Humpback Whale activity (TRIM),highlights/audio/BIRDS/GLBARENDU_20220616_230000 very clear Varied Thrush song background Humpback Whale activity (TRIM).mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/GLBARENDU_20220616_230000 very clear Varied Thrush song background Humpback Whale activity (TRIM).mp3,highlights/audio_normalized/BIRDS/GLBARENDU_20220616_230000 very clear Varied Thrush song background Humpback Whale activity (TRIM).mp3,ok,-26.5,-6.2,12.7,-18.0,0.22,8.5,8.5,,
katmcros_20170731_051841,"Gray-cheeked Thrush song with diverse, distant riparian background chorus","highlights/audio/BIRDS/KATMCROS_20170731_051841 Gray-cheeked Thrush song with diverse, distant riparian background chorus.mp3","archive/pre_loudness_normalize/highlights/audio/BIRDS/KATMCROS_20170731_051841 Gray-cheeked Thrush song with diverse, distant riparian background chorus.mp3","highlights/audio_normalized/BIRDS/KATMCROS_20170731_051841 Gray-cheeked Thrush song with diverse, distant riparian background chorus.mp3",ok,-53.04,-34.91,16.3,-41.04,-5.4,12.0,35.04,gain_capped,boost capped at 12.0 dB (would have been 35.0 dB)
katmjojo_20160710_221044,excellent Common Loon call chorus,highlights/audio/BIRDS/KATMJOJO_20160710_221044 excellent Common Loon call chorus.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/KATMJOJO_20160710_221044 excellent Common Loon call chorus.mp3,highlights/audio_normalized/BIRDS/KATMJOJO_20160710_221044 excellent Common Loon call chorus.mp3,ok,-65.58,-49.96,5.5,-53.58,3.14,12.0,47.58,gain_capped,boost capped at 12.0 dB (would have been 47.6 dB)
katmkaba_20160823_205149,"excellent very clear Northern Raven calls, background American Tree Sparrow calls","highlights/audio/BIRDS/KATMKABA_20160823_205149 excellent very clear Northern Raven calls, background American Tree Sparrow calls.mp3","archive/pre_loudness_normalize/highlights/audio/BIRDS/KATMKABA_20160823_205149 excellent very clear Northern Raven calls, background American Tree Sparrow calls.mp3","highlights/audio_normalized/BIRDS/KATMKABA_20160823_205149 excellent very clear Northern Raven calls, background American Tree Sparrow calls.mp3",ok,-42.37,-21.45,20.4,-30.37,1.82,12.0,24.37,gain_capped,boost capped at 12.0 dB (would have been 24.4 dB)
laclhanm_20190829_062559,very clear Common Loon calls with extensive echo and some distortion (TRIM),highlights/audio/BIRDS/LACLHANM_20190829_062559 very clear Common Loon calls with extensive echo and some distortion (TRIM).mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/LACLHANM_20190829_062559 very clear Common Loon calls with extensive echo and some distortion (TRIM).mp3,highlights/audio_normalized/BIRDS/LACLHANM_20190829_062559 very clear Common Loon calls with extensive echo and some distortion (TRIM).mp3,ok,-19.71,-11.72,10.8,-18.0,-0.49,1.71,1.71,,
denahig1_20120728_122042,insect and running animal,highlights/audio/GENERAL/DENAHIG1_20120728_122042 insect and running animal.mp3,archive/pre_loudness_normalize/highlights/audio/GENERAL/DENAHIG1_20120728_122042 insect and running animal.mp3,highlights/audio_normalized/GENERAL/DENAHIG1_20120728_122042 insect and running animal.mp3,ok,-50.12,-18.36,10.7,-38.12,-1.88,12.0,32.12,gain_capped,boost capped at 12.0 dB (would have been 32.1 dB)
denamoos_20180814_105458,if a tree falls,highlights/audio/GENERAL/DENAMOOS_20180814_105458 if a tree falls.mp3,archive/pre_loudness_normalize/highlights/audio/GENERAL/DENAMOOS_20180814_105458 if a tree falls.mp3,highlights/audio_normalized/GENERAL/DENAMOOS_20180814_105458 if a tree falls.mp3,ok,-33.26,-6.55,23.5,-21.26,2.62,12.0,15.26,gain_capped,boost capped at 12.0 dB (would have been 15.3 dB)
denaphen_20160326_044922,Denali Kennels dogs howling,highlights/audio/GENERAL/DENAPHEN_20160326_044922 Denali Kennels dogs howling TRIM.mp3,archive/pre_loudness_normalize/highlights/audio/GENERAL/DENAPHEN_20160326_044922 Denali Kennels dogs howling TRIM.mp3,highlights/audio_normalized/GENERAL/DENAPHEN_20160326_044922 Denali Kennels dogs howling TRIM.mp3,ok,-57.85,-38.63,12.5,-45.85,0.57,12.0,39.85,gain_capped,boost capped at 12.0 dB (would have been 39.9 dB)
denaphen_20160326_044922-mp3,Denali Kennels dogs howling,highlights/audio/GENERAL/DENAPHEN_20160326_044922 Denali Kennels dogs howling.mp3,archive/pre_loudness_normalize/highlights/audio/GENERAL/DENAPHEN_20160326_044922 Denali Kennels dogs howling.mp3,highlights/audio_normalized/GENERAL/DENAPHEN_20160326_044922 Denali Kennels dogs howling.mp3,ok,-58.64,-38.79,14.3,-46.64,-0.91,12.0,40.64,gain_capped,boost capped at 12.0 dB (would have been 40.6 dB)
denathri_20150630_125351,rain faint chorus,highlights/audio/GENERAL/DENATHRI_20150630_125351 rain faint chorus.mp3,archive/pre_loudness_normalize/highlights/audio/GENERAL/DENATHRI_20150630_125351 rain faint chorus.mp3,highlights/audio_normalized/GENERAL/DENATHRI_20150630_125351 rain faint chorus.mp3,ok,-35.18,0.3,2.7,-23.18,0.62,12.0,17.18,gain_capped|hot_peak,boost capped at 12.0 dB (would have been 17.2 dB); input peak 0.3 dBFS — limiter will engage
denatoko_20160511_070134,long cut of avian chorus with showers,highlights/audio/GENERAL/DENATOKO_20160511_070134 long cut of avian chorus with showers TRIM.mp3,archive/pre_loudness_normalize/highlights/audio/GENERAL/DENATOKO_20160511_070134 long cut of avian chorus with showers TRIM.mp3,highlights/audio_normalized/GENERAL/DENATOKO_20160511_070134 long cut of avian chorus with showers TRIM.mp3,ok,-47.89,-29.53,8.9,-35.89,-0.04,12.0,29.89,gain_capped,boost capped at 12.0 dB (would have been 29.9 dB)
denatoko_20160513_130223,animal movement bird chorus and river,highlights/audio/GENERAL/DENATOKO_20160513_130223 animal movement bird chorus and river.mp3,archive/pre_loudness_normalize/highlights/audio/GENERAL/DENATOKO_20160513_130223 animal movement bird chorus and river.mp3,highlights/audio_normalized/GENERAL/DENATOKO_20160513_130223 animal movement bird chorus and river.mp3,ok,-49.15,-17.08,6.0,-37.15,0.77,12.0,31.15,gain_capped,boost capped at 12.0 dB (would have been 31.1 dB)
glbabartc_20210726_194850,curious_natural_sound like child humming,highlights/audio/GENERAL/GLBABARTC_20210726_194850_curious_natural_sound like child humming TRIM FADE COMPRESS AMPLIFY.mp3,archive/pre_loudness_normalize/highlights/audio/GENERAL/GLBABARTC_20210726_194850_curious_natural_sound like child humming TRIM FADE COMPRESS AMPLIFY.mp3,highlights/audio_normalized/GENERAL/GLBABARTC_20210726_194850_curious_natural_sound like child humming TRIM FADE COMPRESS AMPLIFY.mp3,ok,-26.03,-1.55,11.5,-18.0,-0.3,8.03,8.03,,
laclkijk_20180619_193149,ambience with raindrops and punctuated bird song,highlights/audio/GENERAL/LACLKIJK_20180619_193149 ambience with raindrops and punctuated bird song.mp3,archive/pre_loudness_normalize/highlights/audio/GENERAL/LACLKIJK_20180619_193149 ambience with raindrops and punctuated bird song.mp3,highlights/audio_normalized/GENERAL/LACLKIJK_20180619_193149 ambience with raindrops and punctuated bird song.mp3,ok,-51.97,-20.37,10.2,-39.97,1.39,12.0,33.97,gain_capped,boost capped at 12.0 dB (would have been 34.0 dB)
laclkijk_20180619_194318,ambience with raindrops and avian chorus,highlights/audio/GENERAL/LACLKIJK_20180619_194318 ambience with raindrops and avian chorus.mp3,archive/pre_loudness_normalize/highlights/audio/GENERAL/LACLKIJK_20180619_194318 ambience with raindrops and avian chorus.mp3,highlights/audio_normalized/GENERAL/LACLKIJK_20180619_194318 ambience with raindrops and avian chorus.mp3,ok,-54.78,-23.6,6.3,-42.78,-0.05,12.0,36.78,gain_capped,boost capped at 12.0 dB (would have been 36.8 dB)
denaback_20140609_004008,pronounced rock slide with several phases,highlights/audio/GEOPHONY/DENABACK_20140609_004008 pronounced rock slide with several phases AMPLIFY +15 dBFS (slight TRIM).mp3,archive/pre_loudness_normalize/highlights/audio/GEOPHONY/DENABACK_20140609_004008 pronounced rock slide with several phases AMPLIFY +15 dBFS (slight TRIM).mp3,highlights/audio_normalized/GEOPHONY/DENABACK_20140609_004008 pronounced rock slide with several phases AMPLIFY +15 dBFS (slight TRIM).mp3,ok,-41.82,-10.66,9.2,-29.82,-0.6,12.0,23.82,gain_capped,boost capped at 12.0 dB (would have been 23.8 dB)
denaback_20140724_210128,rock slide with large pieces at end,highlights/audio/GEOPHONY/DENABACK_20140724_210128 rock slide with large pieces at end.mp3,archive/pre_loudness_normalize/highlights/audio/GEOPHONY/DENABACK_20140724_210128 rock slide with large pieces at end.mp3,highlights/audio_normalized/GEOPHONY/DENABACK_20140724_210128 rock slide with large pieces at end.mp3,ok,-35.59,-6.68,13.0,-23.59,-1.53,12.0,17.59,gain_capped,boost capped at 12.0 dB (would have been 17.6 dB)
denabicr_20130707_143335,DENABICR_20130707_143335-Thunder And Rain,highlights/audio/GEOPHONY/DENABICR_20130707_143335-Thunder And Rain TRIM.mp3,archive/pre_loudness_normalize/highlights/audio/GEOPHONY/DENABICR_20130707_143335-Thunder And Rain TRIM.mp3,highlights/audio_normalized/GEOPHONY/DENABICR_20130707_143335-Thunder And Rain TRIM.mp3,ok,-41.08,-11.13,18.1,-29.08,1.1,12.0,23.08,gain_capped,boost capped at 12.0 dB (would have been 23.1 dB)
denabmul_20210330_001843,Muldrow surge long cut,highlights/audio/GEOPHONY/DENABMUL_20210330_001843 Muldrow surge long cut TRIM.mp3,archive/pre_loudness_normalize/highlights/audio/GEOPHONY/DENABMUL_20210330_001843 Muldrow surge long cut TRIM.mp3,highlights/audio_normalized/GEOPHONY/DENABMUL_20210330_001843 Muldrow surge long cut TRIM.mp3,ok,-35.88,-4.3,21.3,-23.88,5.74,12.0,17.88,gain_capped,boost capped at 12.0 dB (would have been 17.9 dB)
denabmul_20210401_051821,Muldrow surge long cut,highlights/audio/GEOPHONY/DENABMUL_20210401_051821 Muldrow surge long cut TRIM.mp3,archive/pre_loudness_normalize/highlights/audio/GEOPHONY/DENABMUL_20210401_051821 Muldrow surge long cut TRIM.mp3,highlights/audio_normalized/GEOPHONY/DENABMUL_20210401_051821 Muldrow surge long cut TRIM.mp3,ok,-41.89,-7.19,20.5,-29.89,1.83,12.0,23.89,gain_capped,boost capped at 12.0 dB (would have been 23.9 dB)
denabmul_20210401_051821-mp3,Muldrow surge shorter clip,highlights/audio/GEOPHONY/DENABMUL_20210401_051821 Muldrow surge shorter clip.mp3,archive/pre_loudness_normalize/highlights/audio/GEOPHONY/DENABMUL_20210401_051821 Muldrow surge shorter clip.mp3,highlights/audio_normalized/GEOPHONY/DENABMUL_20210401_051821 Muldrow surge shorter clip.mp3,ok,-39.07,-6.88,22.5,-27.07,1.22,12.0,21.07,gain_capped,boost capped at 12.0 dB (would have been 21.1 dB)
denabmul_20210401_091907,"Muldrow surge long cut, extensive low-frequency rumbling features","highlights/audio/GEOPHONY/DENABMUL_20210401_091907 Muldrow surge long cut, extensive low-frequency rumbling features TRIM.mp3","archive/pre_loudness_normalize/highlights/audio/GEOPHONY/DENABMUL_20210401_091907 Muldrow surge long cut, extensive low-frequency rumbling features TRIM.mp3","highlights/audio_normalized/GEOPHONY/DENABMUL_20210401_091907 Muldrow surge long cut, extensive low-frequency rumbling features TRIM.mp3",ok,-39.04,-1.96,16.7,-27.04,1.1,12.0,21.04,gain_capped,boost capped at 12.0 dB (would have been 21.0 dB)
